en,ru,def,example,tag,now,last_check,days_before,correct,incorrect,wr,coefficient
milestone,веха,an important event in the development or history of something or in someone's life,he felt that moving out of his parents' home was a real milestone in his life.,dictation 2,2022-11-09 01:58:18.177416,2022-10-27 17:06:32.513163,12,3,0,1.0,0.7737589130611019
target,цель,"an object shot at during shooting practice, often a circle with a pattern of rings, or any object or place at which bullets, bombs, etc. are aimed",i had four shots but i didn't even hit the target.,dictation 2,2022-11-09 01:58:18.177416,2022-10-27 17:10:47.630750,12,2,0,1.0,0.7737589130611019
reduce,уменьшать,"to become or to make something become smaller in size, amount, degree, importance, etc",do nuclear weapons really reduce the risk of war?,dictation 2,2022-11-09 01:58:18.177416,2022-10-27 17:06:44.001908,12,2,0,1.0,0.7737589130611019
failure,провал,the fact of someone or something not succeeding,the meeting was a complete/total failure.,dictation 2,2022-11-09 01:58:18.177416,2022-10-27 16:47:58.220808,12,1,0,1.0,0.7737589130611019
workload,нагрузка,"the amount of work to be done, especially by a particular person or machine in a period of time",teachers are always complaining about their heavy workloads.,dictation 2,2022-11-09 01:58:18.177416,2022-10-27 16:48:08.905919,12,1,0,1.0,0.7737589130611019
make a reality,сделать реальностью,-,-,dictation 2,2022-11-09 01:58:18.177416,2022-10-27 16:08:43.140800,12,1,0,1.0,0.7737589130611019
rotate,вращать,"to turn or cause something to turn in a circle, especially around a fixed point",rotate the handle by 180° to open the door.,dictation 2,2022-11-09 01:58:18.177416,2022-10-27 17:07:06.903242,12,2,0,1.0,0.7737589130611019
take inspiration,черпать вдохновение,take something that gives you ideas for doing something,,dictation 2,2022-11-09 01:58:18.177416,2022-10-27 17:06:19.486336,12,2,0,1.0,0.7737589130611019
ensure,гарантировать,to make something certain to happen,the airline is taking steps to ensure safety on its aircraft.,dictation 2,2022-11-09 01:58:18.177416,2022-10-27 16:41:43.487017,12,1,0,1.0,0.7737589130611019
exert pressure,оказывать давление,"to use pressure such as authority, power, influence, etc. in order to make something happen",some managers exert considerable pressure on their staff to work extra hours without being paid,dictation 2,2022-11-09 01:58:18.177416,2022-10-27 17:06:46.832716,12,2,0,1.0,0.7737589130611019
marine,морской,related to the sea or sea transport,the oil slick seriously threatens marine life around the islands.,dictation 2,2022-11-09 01:58:18.177416,2022-10-27 16:43:23.173008,12,1,0,1.0,0.7737589130611019
efficiency,эффективность,the good use of time and energy in a way that does not waste any,energy efficiency,dictation 2,2022-11-09 01:58:18.177416,2022-10-27 17:11:36.309625,12,2,0,1.0,0.7737589130611019
propeller,пропеллер,"a device that causes a ship or aircraft to move, consisting of two or more blades that spin at high speed",,dictation 2,2022-11-09 01:58:18.177416,2022-10-27 17:10:40.250842,12,2,0,1.0,0.7737589130611019
luggage,багаж,"the bags, suitcases, etc. that contain your possessions and that you take with you when you are travelling",we bought some new luggage for our trip.,dictation 2,2022-11-09 01:58:18.177416,2022-10-27 17:12:26.680847,12,2,0,1.0,0.7737589130611019
enrage,бесить,to cause someone to become very angry,he was enraged at the article about him.,general,2022-11-09 01:58:18.177416,2022-10-28 17:18:00.871520,11,1,0,1.0,0.7799771419043033
opposite,противоположный,completely different,police attempts to calm the violence had the opposite effect.,dictation 2,2022-11-09 01:58:18.177416,2022-10-31 00:42:37.477949,9,1,0,1.0,0.7943282347242815
reflect,отражать,"to show, express, or be a sign of something",the statistics reflect a change in people's spending habits.,dictation 2,2022-11-09 01:58:18.177416,2022-10-31 00:42:33.136825,9,3,0,1.0,0.7943282347242815
